Year;Price;;;;;
2008;97.61;;;;;
2009;82.63;;;;;
2010;88.87;;;;;
2011;104.79;;;;;
2012;116.36;;;;;
2013;112.99;;;;;
2014;106.6;;;;;
2015;85.41;;;;;
2016;73.74;;;;;
2017;90.66;;;;;
2018;93.53;;;;;
2019;95.1;;;;;
2020;100.11;;;;;
2021;93.31;;;;;
2022;125.0;;;;;
